session_id,f0_mean_hz,f0_std_hz,f0_range_hz,pause_ratio,voiced_ratio,energy_std,energy_mean,duration_sec,frame_count,voiced_frames
340,87.940,27.789,424.705,0.9995,0.0005,0.000898,0.000021,84149.00,8414898,3846
378,203.741,45.830,428.295,0.9267,0.0733,0.004891,0.003027,873.40,87337,6400
364,103.140,35.752,427.415,0.8899,0.1101,0.008016,0.006091,1781.50,178147,19617
366,141.489,49.674,431.936,0.9363,0.0637,0.006194,0.004360,1312.70,131267,8363
365,82.875,12.977,345.190,0.9836,0.0164,0.003338,0.002359,1386.10,138607,2275
336,116.857,23.940,171.947,0.9130,0.0870,0.005890,0.003117,944.50,94447,8221
356,114.312,17.067,153.221,0.9100,0.0900,0.005287,0.003559,954.00,95397,8585
323,199.311,46.375,427.148,0.9999,0.0001,0.000725,0.000016,92799.75,9279973,1156
372,217.592,56.855,436.092,0.8634,0.1366,0.009811,0.005721,1513.70,151367,20682
357,118.645,24.754,236.316,0.9267,0.0733,0.007005,0.003742,414.80,41477,3042
334,132.641,16.261,206.404,0.8369,0.1631,0.008324,0.005344,980.00,97997,15986
306,193.816,54.298,405.927,0.8733,0.1267,0.030364,0.030060,858.10,85807,10874
370,110.427,23.582,372.904,0.7810,0.2190,0.011624,0.008590,1208.60,120857,26472
320,199.044,42.701,396.520,0.9989,0.0011,0.001180,0.000048,66847.50,6684747,7620
305,151.474,60.566,409.534,0.8767,0.1233,0.050631,0.048286,1704.00,170397,21003
327,200.467,32.118,263.050,0.9252,0.0748,0.004820,0.002765,680.80,68077,5090
317,110.916,21.726,167.370,0.9759,0.0241,0.005389,0.001049,2360.08,236005,5683
303,192.940,34.363,367.763,0.7770,0.2230,0.008101,0.007308,985.30,98527,21971
316,94.512,8.038,83.002,0.9737,0.0263,0.005727,0.002320,869.00,86897,2284
387,112.139,23.517,140.499,0.9592,0.0408,0.005515,0.002391,602.80,60277,2460
308,195.645,52.934,361.431,0.9142,0.0858,0.023408,0.021875,867.60,86757,7447
363,135.789,29.511,304.620,0.9355,0.0645,0.004389,0.003371,1227.10,122707,7909
373,89.888,16.229,290.823,0.9417,0.0583,0.005711,0.004420,1265.10,126507,7370
346,196.454,44.212,391.193,0.9396,0.0604,0.004144,0.002961,1221.80,122177,7379
360,217.985,29.820,346.119,0.7640,0.2360,0.009880,0.006370,440.40,44037,10391
328,143.029,37.859,400.288,0.8386,0.1614,0.011005,0.007119,1065.20,106517,17189
300,155.080,35.250,410.577,0.9300,0.0700,0.024846,0.009853,648.50,64847,4541
350,203.004,45.102,326.933,0.9725,0.0275,0.003156,0.002122,881.80,88177,2426
374,162.079,35.175,421.130,0.8009,0.1991,0.010797,0.007871,1287.70,128767,25640
348,190.300,34.132,314.920,0.8774,0.1226,0.005722,0.003535,719.40,71937,8821
326,113.541,21.152,312.162,0.9989,0.0011,0.001133,0.000040,54526.73,5452670,5903
351,203.297,29.308,296.196,0.8153,0.1847,0.005944,0.004769,769.60,76957,14212
369,224.709,54.995,435.267,0.7166,0.2834,0.013385,0.008749,1041.10,104107,29501
386,191.868,31.961,345.411,0.7772,0.2228,0.009821,0.007096,1039.40,103937,23158
345,239.264,60.147,435.284,0.7603,0.2397,0.011418,0.007448,793.90,79387,19028
344,85.161,17.140,337.736,0.8362,0.1638,0.024989,0.015384,1090.50,109047,17862
339,80.264,14.160,395.059,0.9146,0.0854,0.005080,0.003543,862.90,86287,7369
337,174.261,31.499,375.182,0.8696,0.1304,0.005146,0.004105,1871.20,187117,24408
311,204.395,23.908,207.002,0.9768,0.0232,0.002979,0.001615,785.60,78557,1819
318,100.575,31.834,420.678,0.8679,0.1321,0.009189,0.005289,588.40,58837,7771
361,151.360,29.326,306.153,0.9996,0.0004,0.001053,0.000030,57410.32,5741029,2412
385,104.559,19.952,411.715,0.9679,0.0321,0.004699,0.001375,536.30,53627,1723
371,91.982,19.879,434.881,0.9033,0.0967,0.007818,0.004033,911.70,91167,8814
347,109.643,12.326,113.619,0.9998,0.0002,0.000772,0.000013,84935.43,8493541,2100
343,116.517,14.825,94.797,1.0000,0.0000,0.000659,0.000010,105120.52,10512050,349
301,109.463,28.365,359.337,0.8111,0.1889,0.011009,0.008818,823.90,82387,15561
313,107.406,14.721,154.986,0.9268,0.0732,0.005358,0.003093,753.80,75377,5517
309,123.352,14.149,230.857,0.9012,0.0988,0.012846,0.006479,705.80,70577,6972
383,113.404,24.304,406.168,0.9519,0.0481,0.005056,0.003689,1369.10,136907,6585
389,100.834,13.131,169.968,0.9489,0.0511,0.007089,0.002728,953.20,95317,4874
368,143.318,24.482,367.688,0.7562,0.2438,0.010159,0.007799,1354.80,135477,33031
319,132.287,21.456,139.991,0.9999,0.0001,0.000698,0.000011,118752.01,11875198,1452
362,155.329,38.222,209.689,0.8862,0.1138,0.006029,0.003829,590.20,59017,6715
312,107.759,32.592,425.335,0.8920,0.1080,0.020678,0.010412,790.00,78997,8529
390,106.814,13.607,139.562,0.9311,0.0689,0.005422,0.003228,1356.70,135667,9344
382,109.791,20.765,372.664,0.8805,0.1195,0.006567,0.003969,824.20,82417,9845
331,119.176,19.878,209.758,0.8883,0.1117,0.007696,0.004731,850.70,85067,9506
367,136.488,19.801,284.847,0.9197,0.0803,0.004454,0.003365,1637.00,163697,13145
332,157.508,39.944,414.337,0.9226,0.0774,0.012314,0.004720,874.10,87407,6768
384,123.011,17.718,420.899,0.8697,0.1303,0.008018,0.004516,1056.80,105677,13765
304,218.325,44.718,436.100,0.8896,0.1104,0.006202,0.004998,792.60,79257,8751
376,196.260,41.410,339.904,0.7758,0.2242,0.009843,0.007096,1025.70,102567,22992
325,190.082,26.987,347.564,0.8338,0.1662,0.005879,0.004736,875.00,87497,14546
355,138.920,15.403,224.528,0.7998,0.2002,0.006540,0.004611,674.70,67467,13507
381,104.992,11.594,161.309,0.9677,0.0323,0.003188,0.002060,1089.30,108927,3519
333,108.387,18.234,435.205,0.9983,0.0017,0.001519,0.000092,39060.23,3906021,6653
380,117.474,28.002,431.840,0.7747,0.2253,0.016908,0.011911,1966.20,196617,44294
335,206.959,39.070,434.061,0.9040,0.0960,0.005278,0.003497,830.10,83007,7972
